Date,Open,High,Low,Close,Adj Close,Volume
2014-09-15,359.546204,361.468506,298.921021,310.632446,310.632446,122080569
2014-09-22,310.849762,343.704376,295.214508,297.578705,297.578705,146277156
2014-09-29,297.379089,310.224304,231.159409,256.162079,256.162079,220085220
2014-10-06,256.065369,301.691650,241.699951,299.508667,299.508667,269282975
2014-10-13,299.011780,323.814697,290.882355,305.622162,305.622162,123180766
2014-10-20,305.375000,308.417236,270.621155,279.845367,279.845367,89621705
2014-10-27,279.902954,283.273529,256.009277,260.692749,260.692749,84974857
2014-11-03,260.434357,291.717621,259.749908,291.544159,291.544159,93709188
2014-11-10,290.742401,367.290466,286.622040,309.785156,309.785156,167004389
2014-11-17,310.158142,328.343079,274.367737,297.124725,297.124725,142956989
2014-11-24,296.619507,317.385803,287.892517,304.018494,304.018494,105328406
2014-12-01,304.180939,309.291016,295.297913,305.128937,305.128937,65327142
2014-12-08,305.023193,305.963379,271.924072,282.140717,282.140717,114221093
2014-12-15,281.923279,282.355530,247.081940,262.469727,262.469727,149868380
2014-12-22,262.653778,276.369965,255.505554,260.715820,260.715820,87900211
2014-12-29,261.095490,264.909882,214.694550,221.157715,221.157715,119268931
2015-01-05,221.901901,252.517960,221.623627,223.845642,223.845642,138400962
2015-01-12,224.255142,229.940033,145.483078,181.969894,181.969894,310507638
2015-01-19,182.949203,228.991837,176.917038,227.713165,227.713165,166484269
2015-01-26,228.037155,275.301666,187.856628,200.735825,200.735825,271746210
2015-02-02,200.310425,216.759491,187.926666,197.500000,197.500000,161565847
2015-02-09,197.479675,233.340057,190.037949,206.041061,206.041061,202610396
2015-02-16,206.041061,224.397964,200.755615,207.379395,207.379395,135975111
2015-02-23,207.395203,234.420364,205.700516,233.155914,233.155914,123646518
2015-03-02,233.294800,256.497620,231.235336,253.000748,253.000748,219603990
2015-03-09,253.423096,281.700287,252.622208,273.197571,273.197571,243701950
2015-03-16,272.522186,278.146393,229.157608,247.538101,247.538101,192564293
2015-03-23,247.478043,254.400909,216.410461,223.040802,223.040802,164507999
2015-03-30,223.193344,236.762024,219.966904,237.036560,237.036560,138119176
2015-04-06,237.148453,238.453415,219.615997,222.659821,222.659821,137950571
2015-04-13,222.468414,223.671295,203.062988,205.996674,205.996674,148273532
2015-04-20,206.007767,221.764542,197.530792,201.960419,201.960419,137535774
2015-04-27,201.959503,217.197968,201.388321,214.854752,214.854752,146783854
2015-05-04,214.852951,221.312851,201.368164,214.645828,214.645828,147991581
2015-05-11,214.648499,218.860321,205.187180,206.940491,206.940491,114984663
2015-05-18,207.014771,219.760239,205.480423,219.227554,219.227554,103415139
2015-05-25,219.203903,219.070160,209.340637,210.104050,210.104050,97899219
2015-06-01,210.143295,212.405350,197.923904,200.757523,200.757523,109420234
2015-06-08,200.755722,208.429184,200.719696,208.093201,208.093201,107810448
2015-06-15,207.985382,228.111008,207.948334,214.720535,214.720535,169122829
2015-06-22,214.742538,225.113312,214.458420,226.909973,226.909973,103669818
2015-06-29,226.645706,250.233368,225.756958,247.328537,247.328537,186269438
2015-07-06,246.596329,281.689819,240.722916,279.355682,279.355682,318028999
2015-07-13,279.319733,279.227722,249.603638,252.667847,252.667847,216132446
2015-07-20,252.561630,266.701843,250.549789,266.757202,266.757202,143830794
2015-07-27,266.714386,267.999268,252.620605,257.741913,257.741913,147806134
2015-08-03,257.917023,262.819672,237.414993,241.952362,241.952362,189203180
2015-08-10,242.312881,244.892654,231.422516,233.036133,233.036133,159516560
2015-08-17,233.020813,234.816116,191.402786,200.570511,200.570511,198124642
2015-08-24,200.520386,209.941986,172.367416,204.050491,204.050491,212256270
2015-08-31,204.365356,217.799698,200.829132,215.083847,215.083847,129294682
2015-09-07,215.168152,220.312836,202.179321,203.255432,203.255432,131957745
2015-09-14,203.340973,230.036392,200.988358,204.829910,204.829910,111981382
2015-09-21,204.834335,213.091904,201.302872,207.874435,207.874435,122881887
2015-09-28,207.944977,213.727264,207.430176,212.389908,212.389908,122018171
2015-10-05,212.290070,219.205505,210.529358,217.358795,217.358795,126258716
